Event,Details,Gender,Day,Date,Start Time,End Time,Duration,Venue,Lat,Lon
Athletics,110m Hurdles: round 1,Men,Tue,07 Aug,10:00,12:35,2:35,"Olympic Stadium, Stratford, London",,
Athletics,200m: round 1,Men,Tue,07 Aug,10:00,12:35,2:35,"Olympic Stadium, Stratford, London",,
Athletics,Triple Jump: qualifying,Men,Tue,07 Aug,10:00,12:35,2:35,"Olympic Stadium, Stratford, London",,
Athletics,5000m: round 1,Women,Tue,07 Aug,10:00,12:35,2:35,"Olympic Stadium, Stratford, London",,
Athletics,Javelin: qualifying.,Women,Tue,07 Aug,10:00,12:35,2:35,"Olympic Stadium, Stratford, London",,
Athletics,"110m Hurdles: semi-finals, final",Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,200m: semi-finals,Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,1500m: victory ceremony,Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,High Jump: victory ceremony,Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,Discus: victory ceremony,Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,Javelin: qualifying,Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,"Decathlon: high jump, 400m",Men,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,100m Hurdles: victory ceremony,Women,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,200m: final,Women,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,"400m Hurdles: final, victory ceremony",Women,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
Athletics,1500m: semi-finals,Women,Wed,08 Aug,18:00,21:55,3:55,"Olympic Stadium, Stratford, London",,
